Labels,Text,Text_Tag
5,"Senate Majority Leader Harry Reid ""said, quote, 'I can't stand John McCain.' ",candidates-biography
5,Governor Carcieri has not been campaigning with me.,"candidates-biography,debates,campaign-advertising"
5,"Crist sent his ""top policy staffer to the House Committee to testify in support of the proposal,"" then vetoed the bill.",education
5,Forty-three million Americans are on food stamps.,welfare
5,"Buono voted 154 times to raise our taxes -- like the sales tax, the income tax, health care taxes, even small business taxes.",taxes
5,"From 1972 until 2011, the number of EPA employees increased by 107 percent while the number of total federal personnel decreased by 15 percent.","environment,jobs"
5,"A report by the health insurance industry ""ignores some of the key policies that are part of the Senate Finance Committee bill.",health-care
5,Wayne Powell has a stated position of having no objection to taking `In God We Trust off of U.S. currency.,religion
5,"Police officers in this state have that right, to check the immigration status of people they arrest.","civil-rights,homeland-security,immigration"
5,Twenty-five percent of our kids in foster care are there because their parents are involved in drugs.,"children,drugs,poverty"
5,"Donna Shalala left me with 12 million doses of smallpox vaccine and I created enough to vaccinate every man, woman and child against smallpox in America.","federal-budget,homeland-security,public-health,terrorism"
5,"Under the compromise tax agreement, 99.7% of American families will not pay 1 nickel in an estate tax.",taxes
5,"The truth is David Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly.","children,crime,message-machine-2012,voting-record"
5,"Corporate profits are up, CEO pay is up, but average wages of Americans are flat.",economy
5,Says Barack Obama has played nearly 100 rounds of golf as president.,recreation
5,Says the Army is spending $7 million to sponsor a NASCAR team.,"federal-budget,military"
5,Obama voted to support President Bush between 40 and 50 percent of the time over the past two years.,bush-administration
5,President Obama's proposed 'spending freeze' will only reduce the $42 trillion in government spending proposed between 2011 and 2020 by little more than one-half of 1 percent.,"economy,federal-budget"
5,"At the beginning of World War II, we had a relatively small army, smaller than Portugals.","history,military"
5,Were within 600 miles of 60 percent of America. Were in a perfect location.,"economy,jobs"
5,We were the No. 1 job creator in America in February and we are now the No. 4 job creator in the last year.,"economy,jobs"
