Labels,Text,Text_Tag
5,Says the federal government is the largest energy user in the country.,energy
5,Says one in four women and one in seven men have been victims of domestic violence in their lifetime.,"crime,women"
5,Todays marijuana is 300 percent to 800 percent more potent than the pot of yesteryear.,"drugs,marijuana,recreation,science"
5,Wisconsin is below the national average in wage growth and job growth.,"economy,income,job-accomplishments,jobs,workers"
5,"Of the 25 wealthiest nations, were the only one that doesnt provide basic health coverage.",health-care
5,Ed Schultz said Alan Grayson is what its all about.,"message-machine,pundits"
5,AIG said they were giving $57 million (in retention payments) to people who were being terminated.,economy
5,Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all.,taxes
5,"Last year, we saw the first reduction in the federal prison population in 32 years.","corrections-and-updates,crime,criminal-justice"
5,Says America spends over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12.,"economy,health-care"
5,Connecticuts take on slot machines is 25 cents on the dollar. And the states take on table games: zero.,"economy,gambling,state-budget,state-finances"
5,Sen. Obama has been to Iraq once.,iraq
5,Dodd brought both parties together to pass the Family and Medical Leave Act.,job-accomplishments
5,The Obama administration has used the Espionage Act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined.,"crime,homeland-security,legal-issues"
5,"Nevada has been recently ranked No. 1 in unemployment, foreclosures, violent crime, personal bankruptcy and divorce.",gambling
5,"Says New Jersey has gained 143,000 new private-sector jobs.",jobs
5,Says the Portland Childrens Levy holds its administrative expenses to less than 5 percent.,"children,city-government"
5,"Every year tobacco kills more Americans than did World War II more than AIDS, cocaine, heroin, alcohol, vehicular accidents, homicide and suicide combined.",consumer-safety
5,"We spent approximately $20-billion of that money on pork barrel, earmark projects. Maybe if we had done it right, maybe some of that money would have gone to inspect those bridges and other bridges across the country.",federal-budget
5,"We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.",criminal-justice
5,I opposed this war from the beginning. I opposed the war in 2002. I opposed the war in 2003. I opposed it in 2004 and 2005 and 2006.,iraq
5,"Says the State Department spent $630,000 to get 2 million Facebook Likes.",deficit
5,The average unemployed American has been out of work for almost 40 weeks.,"economy,jobs,pundits"
5,"Republican challenger Bill Flores ""has never once voted in a general election in our district.","candidates-biography,elections,message-machine"
5,Polls showHillary Clinton wins every time with Donald Trump as her opponent.,polls
5,"We could save all the oil that they're talking about getting off drilling, if everybody was just inflating their tires and getting regular tune-ups.",energy
5,"In the past three years, state legislatures have enacted more of these restrictions (on abortion) than in the previous 10 years combined.","abortion,health-care,women"
5,"In Senate Bill 5, there is this new method of evaluating teachers. Youre also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents.","education,labor"
5,Obama says Clinton in 2002 suggested there was a connection between al-Qaida and the Iraqi government.,iraq
5,(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.,taxes
5,Our businesses have created jobs every single month since (Obamacare) became law.,"economy,health-care,jobs"
5,Congressional Budget Office says 8 (percent) unemployment till 2014!,"economy,jobs"
5,Oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but Oregon.,"congress,education,federal-budget"
5,"Almost half a million people are still eligible (for DACA), particularly in the Asian-American and Pacific Islander community.",immigration
5,Says state Rep. Diana Maldonado of Round Rock uses Craigslist to hire campaign block walkers.,"campaign-finance,workers"
5,"Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.","diversity,guns"
5,"Even if you took literally every single ounce of platinum in the world, it still wouldnt add up to enough needed to pay down our nations debt.",debt
5,Says Florida refused to allow theinsurance commissioner to negotiate lower rates with companies or refuse rates that are too high under Obamacare.,"health-care,states"
5,Georgias CRCT set some of the lowest expectations for student proficiency in the nation.,education
5,"He's been endorsed by ""every major newspaper here in the state of Texas.",elections
5,The House of Representatives does not have a prochoice majority.,abortion
5,"To give a sense of how families are struggling, a record four out of every 10 school kids in Ohio now qualifies for subsidized lunch.","children,economy,families,poverty"
5,Florida is the largest dog-racing state in the country.,"animals,gambling,tourism"
5,We cut our deficits by more than half.,"deficit,economy,federal-budget"
5,Says U.S. Sen. Ron Johnson voted to let oil and gas companies emit unlimited carbon pollution into our air,"climate-change,energy,environment,transportation"
5,"What do Rutgers University, Kean University, Montclair State University, New Jersey City University, Stockton College, Rowan University and William Paterson all have in common? They all graduate less than 50 percent of their students within four years.",education
5,Says a change in law he carried stopped a $100 million tax increase in the Dallas school district.,"education,taxes"
5,Currently it costs more than a penny for the U.S. Mint to make a one cent coin and more than a nickel to make the five cent piece.,economy
5,Gov. Rick Scotts sale of the state planes was not proper.,"legal-issues,state-budget"
5,Says theres no language in the U.S. Constitution that prevents someone from running for Congress simultaneously in multiple states.,elections
5,On the mosque near ground zero.,religion
5,"When McCain was questioned about hiring lobbyists to his campaign staff, ""his top lobbyist actually had the nerve to say, 'The American people won't care about this.' ","elections,ethics"
5,Three of our cities are among the top five worst cities in the U.S. for asthma.,"energy,environment,government-regulation,health-care,public-health,market-regulation"
5,"Virginia spends $400,000 on abstinence programs while losing $2.5 million in federal funds due to Gov. Bob McDonnells political agenda.","abortion,state-budget"
5,Says Donald Trump mocked someone with a disability.,disability
5,President Obama campaigned on a promise to put reproductive health care at the center of his reform plan.,"abortion,health-care"
5,The House of Representatives has never sued a sitting president in all of U.S. history.,"congress,legal-issues"
5,"Says with Jon Corzine, its the first time, I think, in history where a former Senator has been subpoenaed to testify before his former colleagues.",history
5,Just 400 Americans -- 400 -- have more wealth than half of all Americans combined.,"economy,poverty,state-budget"
5,"In 1976, the first year that Pell Grants were fully funded, a full Pell Grant paid 72 percent of the cost of attendance at a typical four-year public college. Today, a full Pell Grant covers just 34 percent of those costs.",education
5,"We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.","elections,foreign-policy,history,homeland-security"
5,"Obama said his proposed $1,000 emergency energy rebate ""will be enough to offset the increased cost of gas for a working family over the next 4 months.",energy
5,Says fewer than 30 percent of Texas college students graduate in four years and only 58 percent graduate within six years.,education
5,"Says Mitt Romney told university students in Ohio that to start a business, they should borrow money if you have to from your parents.","economy,small-business"
5,Newt Gingrich teamed with Nancy Pelosi and Al Gore on global warming.,"climate-change,environment,message-machine-2012"
5,Mitt Romney says class sizes dont matter.,"education,message-machine-2012"
5,My office sends federal money back every year.,"congress,federal-budget"
5,We have over 25 million people who live in Texas and less than 2 percent of them have concealed handgun licenses.,guns
5,"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.","deficit,federal-budget,pensions,workers"
5,Says hes the first Aggie governor of Texas.,education
5,On using Gov. Scott Walkers collective-bargaining limits to help balance the city of Milwaukee budget,"city-budget,labor,state-finances"
5,Says New Jerseys public school students have the best Advanced Placement scores in the nation.,education
5,The debt will soon eclipse our entire economy.,"deficit,economy,federal-budget"
5,"Seneca Jones Timber Co., aiming to increase logging and allay fears that old growth will be cut, says mills have shifted to second-generation trees. An ad from the company asks: Do you know that most all mills in Oregon have retooled over the past 20 years?","environment,jobs"
5,Says Georgia ranks near the bottom in per capita transportation spending.,"state-budget,transportation"
5,"When Social Security started, age expectancy for the average man was 58. It was 62 -- 62 for women.","health-care,history,pundits,social-security"
5,Wisconsin was the first state to ban public and private sector employment discrimination based on sexual orientation.,"civil-rights,legal-issues,sexuality,workers"
5,Gingrich supported individual health insurance mandates.,"health-care,message-machine-2012"
5,Says hes proposed the largest employer contribution to the Virginia Retirement System in history.,pensions
5,A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful.,"economy,foreign-policy,history,trade"
5,China is practicing how to blow up our satellites.,"china,foreign-policy,military,space"
5,"Palin supports ""aerial hunting of wolves and other wildlife.",environment
5,President Obama has stopped using the phrase war on terror.,"homeland-security,terrorism"
5,"Geithner still didn't correct the same type of error for some years, even after the Internal Revenue Service flagged him for the failure to pay the taxes in other years.",economy
5,"The American people have endured 21 consecutive months of 9% or higher unemployment [and] 2.6 million jobs have been lost, since the stimulus bill was signed.",jobs
5,"A typical married couple will contribute $119,000 into Medicare but will receive $357,000 in Medicare benefits over their lifetimes.","corrections-and-updates,deficit,health-care,medicare"
5,"We just dont want to get to be like Louisiana, where you have drive-up daiquiri shops.",Alcohol
5,Ninety percent of the job growth in Virginia has been in the private sector.,"economy,jobs"
5,Rhode Island has the worst maintained bridges in the United States of America . . . and we have the second worst maintained roads [behind] Alaska.,"state-budget,state-finances,transportation"
5,A database police use to look up wanted suspects excludes certain warrants issued by Atlanta Municipal Court.,criminal-justice
5,On a timetable to withdraw from Iraq.,iraq
5,Spanish was the first European language spoken in this country.,"history,immigration"
5,"If someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person.","health-care,public-health"
5,Says the Senate will have a record number of female senators in 2013.,"history,women"
5,Rhode Islands legislature is the strongest in the country.,"legal-issues,state-budget,states"
5,"In 2010, uninsured voters made up about 5 percent of the electorate.","congress,health-care"
5,The mayor said 'if you happen to be in this country in an undocumented status . . . then we welcome you here. We want you here. We'll protect you here.' ,immigration
5,It is a greater crime to have an untagged alligator than to host an open house party (for kids).,"Alcohol,animals,children,crime"
5,We spend more money on lobbying than we do on campaigns.,"campaign-finance,ethics"
5,Senators who have accepted millions in campaign contributions from the financial industry voted against allowing bankruptcy judges to modify home mortgages.,"bankruptcy,elections,housing"
5,"When it comes to fighting terrorism, Another thing we know that does not work, based on lots of empirical evidence, is torture.","afghanistan,civil-rights,criminal-justice,ethics,foreign-policy,history,homeland-security,human-rights,iraq,legal-issues,military,public-safety,terrorism"
5,"Over the last six years, the state of Illinois spent about $320 million on illegal immigrants.","health-care,immigration"
5,Texas children may have a teacher who never spent one minute practicing teaching.,education
5,"Marco Rubio made it clear: Not only does he think Donald Trump is a con man, hewent on to say he doesnt trust Donald Trump with the nuclear codes.",candidates-biography
5,"Romney refused to pardon ""a decorated soldier"" returning from Iraq who had been charged with a crime involving a BB gun when he was 13.",crime
5,The United States decided waterboarding was torture back when we court-martialed American soldiers for waterboarding Philippine insurgents in the Philippine revolution.,"afghanistan,foreign-policy,history,homeland-security,human-rights,iraq,legal-issues,military,terrorism"
5,"Well, you know, the Teamsters wanted to drill in Alaska. I voted against drilling in Alaska. So it's not like I'm a slam dunk on every issue.",energy
5,Says Craig Huey called Planned Parenthood a murder mill.,"abortion,medicare"
5,"Says she is entering in the most diverse class ever, of U.S. Representatives","congress,diversity"
5,"In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.","economy,jobs"
5,Gov. Bob McDonnellsbudget plantakesmoney out of our classrooms to pave roads.,"education,state-budget"
5,Texas has lost the most law enforcement officers in the line of duty of any state in America.,"crime,criminal-justice,history"
