Labels,Text,Text_Tag
5,"Right now, Texas doesnt have an income tax and Oklahomas lowering their income tax rates, and guess what their severance tax is? Sky high.","state-budget,taxes"
5,"Sarah Palin ""has had 12 years of elected office experience.",candidates-biography
5,"If you count United States airstrikes against ISIS, 75 percent of those combat missions return to base without having fired a weapon.","foreign-policy,military,terrorism"
5,"Says Hillary Clinton said all work-related emails were sent back to the State Department. The FBI director said, thats not true.","foreign-policy,history,job-accomplishments,technology,transparency"
5,Says Mitt Romney said he does not line up with the NRA.,"guns,message-machine-2012"
5,"In 1992, Mitt Romney gave money to Democrats for Congress.","bipartisanship,campaign-finance,candidates-biography"
5,Says there have been no cases of wolves killing people in Rocky Mountain states.,environment
5,A 5 percent increase in domestic production would increase the world supply by less than 1 percent and do almost nothing to our dependence on foreign oil. This would also have virtually no effect on the price of gas at the pump.,"environment,oil-spill"
5,"During the recent global warming summit in Copenhagen, Nancy Pelosi and others stayed at a five-star hotel on a trip costing nearly $10,000 per person.",transportation
5,We cut taxes for 95 percent of working families.,"economy,stimulus,taxes,workers"
5,Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.,"crime,privacy"
5,"The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.","diversity,guns,public-health"
5,The black unemployment rate (has) increased since the recovery has begun.,"economy,jobs,workers"
5,Says the media distortedwhat happened with a baby at his rally.,"candidates-biography,children"
5,Says only 18 percent of Portland elementary schools have art instruction compared to 83 percent nationally.,education
5,American oil production is at its highest level since 2003.,energy
5,"President Obama budget request for veterans ismore than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third.","federal-budget,veterans"
5,Says GOP Senate nominee Darryl Glenn said he wants to see Ted Cruz appointed to the U.S. Supreme Court.,supreme-court
5,People have actually broken down the transcripts for oral arguments and (Antonin Scalia) told more jokes and got more laughs than any of the other justices.,supreme-court
5,"We spend more on health care than any other country, but we're ranked 47th in life expectancy and 43rd in child mortality.",health-care
5,"Thanks to you, in under one week we have the largest GOP (Facebook) page in the Governor's race!","candidates-biography,elections,pop-culture"
5,"Says Ohio is one of just 17 states with an estate tax, and it has the lowest threshold in the nation.",taxes
5,[The state ethics commission] took absolutely the same percent of cuts as most other state agencies. They were somewhere in the 7 percent range same as the governors office.,ethics
5,"Rep. Paul Ryans budget proposal cuts nothing from Medicare, Social Security or defense in the next two to three years, and in three years, he does not cut one dime from the debt.","deficit,federal-budget,medicare,military,social-security,abc-news-week"
5,"In Iraq, civilian deaths, incidents of bombings, etc., remain very low relative to what was going on last year.",iraq
5,"Like Marco Rubio, Sen. Barack Obama had one of the worst attendance records in the Senate.","candidates-biography,congress,florida,foreign-policy,history,job-accomplishments,campaign-advertising,voting-record"
5,San Antonio is now the largest city in the United States ever to have an African American woman mayor.,"city-government,history,population"
5,Travis County is surrounded by red counties.,"bipartisanship,elections"
5,Says she is co-owner of Celilo Group Media.,"job-accomplishments,message-machine-2012"
5,The tuitions in Virginia colleges...have doubled -- 100 percent -- in the last 10 years.,education
5,Says Your kid just ate 16 packs of sugar.,"county-government,public-health"
5,Young veterans have a higher unemployment rate than people who didnt serve.,"economy,jobs,military,veterans,workers"
5,Says Iowa Senate candidate Joni Ernst promises to shut down the Department of Education and abolish the EPA.,"education,environment"
5,Georgia residents file the most insurance claims for lightning strikes in the country.,weather
5,"Ohio is losing over 700 family farms a year, some of them just to pay the inheritance tax.","agriculture,economy,taxes"
5,"In 2011 alone, 269 New Jerseyans were killed by gun violence.",guns
5,"This (SCHIP) is socialized medicine. It is going to go to families that make $60,000 a year. Those aren't poor children.",health-care
5,"If we keep the minimum wage at the current level, then single-parent families earning the minimum wage at a full-time job will live in poverty in New Jersey.","poverty,workers"
5,Two-thirds of our economy is a consumer economy.,economy
5,NATO hasn't provided enough troops (in Afghanistan) because they are still angry about us going into Iraq.,military
5,Says our unemployment insurance trust fund is broke. Were over a billion dollars in debt to the federal government.,"jobs,state-budget"
5,"Many state and federal agencies have such navigators involved in helping folks maneuver through the often complex processes associated with filing benefits claims, for example -- even buying health insurance.",health-care
5,Tells President Barack Obama that he also asked former President George W. Bush about how he felt about Americans hating him.,"bush-administration,pundits"
5,Richard Cordrays nomination to head the Consumer Financial Protection Bureau marks the first time in Senate history that a political party has blocked a nomination of someone because they didnt like the construction of the agency.,"consumer-safety,financial-regulation,government-regulation"
5,Salaries for Virginias teachers are below the national average.,"education,state-budget"
5,"The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression.",jobs
5,Says Rick Santorum supported (Arlen) Specter over conservative candidates twice.,message-machine-2012
5,Ten years ago the Austin Water Utility used a total of 240.3 million gallons. Every summer since then our peak day of water use has been lower.,"city-budget,city-government,water"
5,"The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.","economy,jobs"
5,One out of 10 minimum-wage workers in the U.S. live in Texas.,"economy,pundits,workers"
5,"Ninety-five percent of Oregonians now have health insurance coverage, tens of thousands for the very first time.",health-care
5,Former business partner Robert Gay says: The man who helped save my daughter was Mitt Romney.,candidates-biography
5,"Among the developed nations, we are the least economically and socially mobile country in the world.","economy,income,labor"
5,Swaziland has the highest rate of HIV infection in the world.,public-health
5,"During the Civil War, more than 300,000 Ohioans served in the Union Army -- more per capita than any other state.",history
5,"The national debt ""has gone up by $1,729,000,000 during the Isner v. Mahut match.",federal-budget
5,Says the city of Portland has one manager for every six front-line workers.,"city-government,government-efficiency"
5,Georgia ranks 49th for women serving in elected state and federal offices.,"congress,diversity,elections,states,women"
5,Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.,"congress,legal-issues,supreme-court"
5,Sen. Obama has never taken on his party leaders on a single major issue.,candidates-biography
5,"When I served as City Commissioner, we made great strides we successfully fought for, and won, adding women and people of color to the Fire Bureau.",diversity
5,"We have lost 600,000 jobs over the period of the last 10 years. Only Michigan and California have done worse.","economy,jobs"
5,"We have an 80 percent graduation rate in high school after spending more per student than any country in the world other than Liechtenstein, I think, or Luxembourg and a couple other small countries.",education
5,"The health care bill will subsidize families of four that make more than $80,000 a year.",health-care
5,"In 2008, 33.2 percent of those who voted early on the last Sunday before Election Day were African-American, while 23.6 percent were Hispanic.",elections
5,"47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.","health-care,taxes"
5,Brewpubs cant sell growlers of their beer to customers.,"Alcohol,market-regulation,states"
5,Did U know? Block Island Wind Farm would mean 40% est. drop in BI electric rates.,"energy,infrastructure"
5,"We have over 300,000,000 weapons, firearms in this country. Thats almost as big as the population.",guns
5,The Pink Pony club in DeKalb County has never been cited for any violation of an ordinance or state law.,legal-issues
5,"Since 2008, Gwinnett Countys population has grown 15 percent, while the county government staff has increased only 1 percent.","census,county-budget,county-government,economy,jobs,public-safety,public-service,workers"
5,Harry Reid was against (the nuclear option) before he was for it. Mitch McConnell was for it before he was against it. President Obama was against it before he was for it.,congressional-rules
