Labels,Text,Text_Tag
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education
5,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget
5,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising"
5,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers"
5,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population"
5,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",military
5,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt
5,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,patriotism
5,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs
5,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.","education,gays-and-lesbians,kagan-nomination,military,supreme-court"
5,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments"
5,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs
5,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week"
5,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women"
5,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget
5,I belong to the AFL-CIO.,"candidates-biography,labor"
5,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population"
5,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",guns
5,Sen. Obama has always had a 100 percent prochoice rating.,abortion
5,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget"
5,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs"
5,Says 88 Texas constables have died in the line of duty.,"crime,criminal-justice,history,public-safety,public-service"
5,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",job-accomplishments
5,Says the U.S. Supreme Court found that Social Security is not guaranteed.,social-security
5,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance"
5,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics
5,"Whether you like to admit it or not, half our general revenue goes to education.","education,state-budget"
5,There are already more American jobs in the solar industry than in coal mining.,"climate-change,energy,environment,jobs"
5,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"marriage,message-machine,women"
5,Says judges get better benefits at a lower cost than everybody else in the state.,pensions
5,There are a lot of casinos across the country that have gone bankrupt.,"bankruptcy,economy,gambling,state-budget,state-finances,states"
5,Small businesses create 70 percent of the jobs in America.,"economy,jobs,small-business"
5,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.","elections,immigration,pundits"
5,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes"
5,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,"elections,states"
5,You ... said that Barack Obama was not ready to be commander in chief.,candidates-biography
5,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,campaign-finance
5,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.","bipartisanship,job-accomplishments"
5,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,"foreign-policy,religion,terrorism"
5,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.","economy,history,workers"
5,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.",iraq
5,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care"
5,Says you need a photo ID to purchase Sudafed in Texas.,"elections,legal-issues"
5,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",federal-budget
5,Warren (Buffett) still does support me.,economy
5,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,"candidates-biography,jobs"
5,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",crime
5,Nearly half of all pregnancies in the U.S. are unintended.,"abortion,census,children,families,health-care,public-health,women"
5,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",education
5,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,economy
5,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,housing
5,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",candidates-biography
5,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.","candidates-biography,pundits"
5,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.","labor,pundits,state-budget,abc-news-week"
5,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.","autism,children,disability,education,families,immigration,state-budget,state-finances"
5,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",economy
5,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,"bipartisanship,federal-budget"
5,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.","economy,job-accomplishments,jobs"
5,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",iraq
5,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.","state-budget,taxes,transportation"
5,2008 was the deadliest year of the war (in Afghanistan) for American forces.,"afghanistan,military"
5,Says Amanda Fritz manages less than 5 percent of city operations.,city-government
5,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",state-finances
5,On offshore drilling for energy,"energy,voting-record"
5,I haven't missed a vote since 1993.,history
5,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,"foreign-policy,pundits,terrorism"
5,"Hillary Clinton ""starts off with 47 percent of the country against her.",elections
5,Says legislative cuts mean Texas is spending on average $500 less per student.,"education,state-budget"
5,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.","elections,history"
5,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.","jobs,trade"
5,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,"jobs,trade"
5,Trump proposed enacting the largest tax increase in American history.,"candidates-biography,taxes"
5,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",federal-budget
5,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,transportation
5,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.","elections,ethics"
5,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,"energy,environment,oil-spill"
5,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,transportation
5,"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",housing
5,"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.","education,state-budget"
5,Says State Rep. Kristi Thibaut was an ACORN lobbyist.,candidates-biography
5,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.","abortion,taxes"
5,Texas leads the nation in the percentage of residents without health insurance.,health-care
5,Says New Hampshire has the third-highest property tax in the country.,"corrections-and-updates,taxes"
5,"Obama's tax plan cuts taxes ""for 95 percent of all working families.",taxes
5,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,"education,tourism"
5,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.","foreign-policy,polls"
5,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",crime
5,Americans spend 6.1 billion hours a year on tax preparation.,taxes
5,"Last year, Exxon pocketed nearly $4.7 million every hour.","corporations,energy"
5,Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,elections
5,On letting Occupy Atlanta protesters stay in Woodruff Park.,"occupy-wall-street,public-safety"
5,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.","civil-rights,crime,criminal-justice,marijuana"
